Source,Target,Type,Id,Label,Weight
CommentID,ChannelName_x,Directed,261728,,1
UgwEUIxoIzIOnV2Fb2F4AaABAg,Dr Ngọc Official,Directed,261729,,1
UgwEUIxoIzIOnV2Fb2F4AaABAg.9vBcpvZZ4CNA250jOPaWSs,Dr Ngọc Official,Directed,261730,,1
Ugyn3UYq3S158rlvcjd4AaABAg,Dr Ngọc Official,Directed,261731,,1
UgyJckjoUwrOY0M7N614AaABAg,Dr Ngọc Official,Directed,261732,,1
UgxCCkADot6_IsRWxL94AaABAg,Dr Ngọc Official,Directed,261733,,1
UgxCCkADot6_IsRWxL94AaABAg.AJ9NUU0TCZ-AJ9PQF7hMrQ,Dr Ngọc Official,Directed,261734,,1
UgzLwkZve9M9CZcnk414AaABAg,Dr Ngọc Official,Directed,261735,,1
Ugw3dS1I4T4YC7N_Ejl4AaABAg,Dr Ngọc Official,Directed,261736,,1
UgyJzpILsYWhuBN3fxV4AaABAg,Dr Ngọc Official,Directed,261737,,1
UgzdD_sj5PtlMiCKRA94AaABAg,Dr Ngọc Official,Directed,261738,,1
Ugz7LxeIh2DIJFgfL354AaABAg,Dr Ngọc Official,Directed,261739,,1
UgyQArksnDFu5v71f6l4AaABAg,Dr Ngọc Official,Directed,261740,,1
UgyQArksnDFu5v71f6l4AaABAg.ADbptmnCSgpADcOEatFceT,Dr Ngọc Official,Directed,261741,,1
UgwAejcb1GkN621iXSd4AaABAg,Dr Ngọc Official,Directed,261742,,1
Ugyi3ulDB2nrQdiEt3V4AaABAg,Dr Ngọc Official,Directed,261743,,1
Ugzy8Lcg_m8HOkNVR4R4AaABAg,Dr Ngọc Official,Directed,261744,,1
Ugzy8Lcg_m8HOkNVR4R4AaABAg.A6-dK98SCByA60XqPrmE0M,Dr Ngọc Official,Directed,261745,,1
Ugy-F-nrtVhvDcbTAuJ4AaABAg,Dr Ngọc Official,Directed,261746,,1
Ugy-F-nrtVhvDcbTAuJ4AaABAg.A4jMNQrMXmVA4kBl3t-XF6,Dr Ngọc Official,Directed,261747,,1
Ugxi-qBffWT_T8Yxpcd4AaABAg,Dr Ngọc Official,Directed,261748,,1
Ugxi-qBffWT_T8Yxpcd4AaABAg.A24mYdzS120A25-mIiXHI0,Dr Ngọc Official,Directed,261749,,1
UgxLewWePXCZOWCpEAF4AaABAg,Dr Ngọc Official,Directed,261750,,1
UgznVLX8EwnR9iqYvZp4AaABAg,Dr Ngọc Official,Directed,261751,,1
UgyYA5953F6ab6yE76t4AaABAg,Dr Ngọc Official,Directed,261752,,1
UgyqMv_Szxt3I63-5R14AaABAg,Dr Ngọc Official,Directed,261753,,1
UgzVx4Hm1OXJYwWuLQF4AaABAg,Dr Ngọc Official,Directed,261754,,1
Ugyo9-vOf9MaWr86SXV4AaABAg,Dr Ngọc Official,Directed,261755,,1
UgwfmO95hee-Cjnx1SZ4AaABAg,Dr Ngọc Official,Directed,261756,,1
Ugw8L9czCqArFRhTZnd4AaABAg,Dr Ngọc Official,Directed,261757,,1
UgwQL8ona31x90kB2ZR4AaABAg,Dr Ngọc Official,Directed,261758,,1
UgzMwPZuLZ1kqznIyWt4AaABAg,Dr Ngọc Official,Directed,261759,,1
Ugy4gOo06iWzTgm_KFh4AaABAg,Dr Ngọc Official,Directed,261760,,1
Ugx0bdaJy-saeVjJhzF4AaABAg,Dr Ngọc Official,Directed,261761,,1
UgzjgnqVDPBFH_j0ieN4AaABAg,Dr Ngọc Official,Directed,261762,,1
UgwhtR6ghTdm9VDbke94AaABAg,Dr Ngọc Official,Directed,261763,,1
UgwhtR6ghTdm9VDbke94AaABAg.9vCtTA7XQDX9vEmtiPdZX7,Dr Ngọc Official,Directed,261764,,1
UgxJC8rxI6GU3MlzQXB4AaABAg,Dr Ngọc Official,Directed,261765,,1
UgxJC8rxI6GU3MlzQXB4AaABAg.9vCsu5EVXyc9vEmvV4vITG,Dr Ngọc Official,Directed,261766,,1
UgxUBXEtc4gCEMutNcF4AaABAg,Dr Ngọc Official,Directed,261767,,1
UgxUBXEtc4gCEMutNcF4AaABAg.9vCdl209GQx9vEnaQJnkAn,Dr Ngọc Official,Directed,261768,,1
UgyGob7lirJl5e8CKBh4AaABAg,Dr Ngọc Official,Directed,261769,,1
Ugw6bCIr9yOULatPiV14AaABAg,Dr Ngọc Official,Directed,261770,,1
UgydIVbnN0vRy2_MvOZ4AaABAg,Dr Ngọc Official,Directed,261771,,1
UgydIVbnN0vRy2_MvOZ4AaABAg.9vCQFAGsjS99vEoEQS0zpS,Dr Ngọc Official,Directed,261772,,1
UgxZeVdyDJmwVoY_pvB4AaABAg,Dr Ngọc Official,Directed,261773,,1
Ugxm8Sfy1ESZCNDu_mp4AaABAg,Dr Ngọc Official,Directed,261774,,1
Ugxm8Sfy1ESZCNDu_mp4AaABAg.9vCBrtzPVOE9vCEQOjL0Yw,Dr Ngọc Official,Directed,261775,,1
UgzUk7IUBlOS0B_ivjt4AaABAg,Dr Ngọc Official,Directed,261776,,1
UgyeodsmAZYv1Zb_uhR4AaABAg,Dr Ngọc Official,Directed,261777,,1
UgyeodsmAZYv1Zb_uhR4AaABAg.9vC7D9ueoGO9vCA0dw2fwp,Dr Ngọc Official,Directed,261778,,1
UgyeodsmAZYv1Zb_uhR4AaABAg.9vC7D9ueoGO9vCEw-oQAxb,Dr Ngọc Official,Directed,261779,,1
UgxcAK8zEPh-JtMgy0B4AaABAg,Dr Ngọc Official,Directed,261780,,1
UgxcAK8zEPh-JtMgy0B4AaABAg.9vC45XqP4De9vC4WHOehGZ,Dr Ngọc Official,Directed,261781,,1
UgyaUQq3TRGSqkzomEh4AaABAg,Dr Ngọc Official,Directed,261782,,1
UgyaUQq3TRGSqkzomEh4AaABAg.9vC37Ercrto9vC4_3pXeGP,Dr Ngọc Official,Directed,261783,,1
UgwHELGqfd3hXZzMP-Z4AaABAg,Dr Ngọc Official,Directed,261784,,1
UgzZa_jMUxmH6gbynzN4AaABAg,Dr Ngọc Official,Directed,261785,,1
Ugy5M8NC3U89jQD4yfx4AaABAg,Dr Ngọc Official,Directed,261786,,1
UgycKz6IVtTzo3ezmtt4AaABAg,Dr Ngọc Official,Directed,261787,,1
Ugyk7dXB8u-h3hch5JB4AaABAg,Dr Ngọc Official,Directed,261788,,1
UgzTFMtF_1tMGB60z-94AaABAg,Dr Ngọc Official,Directed,261789,,1
UgzTFMtF_1tMGB60z-94AaABAg.9vBqyzYjXHh9vBzP9EhNB8,Dr Ngọc Official,Directed,261790,,1
Ugzu9zATjUo6JE72so54AaABAg,Dr Ngọc Official,Directed,261791,,1
Ugx4SuGGU_6630N4NAN4AaABAg,Dr Ngọc Official,Directed,261792,,1
Ugx4SuGGU_6630N4NAN4AaABAg.9vBq-xB9edW9vBzSK7OVEY,Dr Ngọc Official,Directed,261793,,1
UgxA76CJSk_D4Iv1kMl4AaABAg,Dr Ngọc Official,Directed,261794,,1
Ugw0TmrbJS0rB5vGs6F4AaABAg,Dr Ngọc Official,Directed,261795,,1
UgxIVCr0-tRcJTaLtpd4AaABAg,Dr Ngọc Official,Directed,261796,,1
UgwfvtvH8Oba2BG50fF4AaABAg,Dr Ngọc Official,Directed,261797,,1
UgweNfIo7MSOQvqVzp14AaABAg,Dr Ngọc Official,Directed,261798,,1
UgzSMw8zrxQwdfpYG6l4AaABAg,Dr Ngọc Official,Directed,261799,,1
UgznH02krlliSibJlQd4AaABAg,Dr Ngọc Official,Directed,261800,,1
Ugw8vPKdUv4n0AkdlgB4AaABAg,Dr Ngọc Official,Directed,261801,,1
Ugz60rycevsbiU-3xHh4AaABAg,Dr Ngọc Official,Directed,261802,,1
UgxtsWExNzcFvNwluYd4AaABAg,Dr Ngọc Official,Directed,261803,,1
UgzdOd1I83Vzz7bPS354AaABAg,Dr Ngọc Official,Directed,261804,,1
UgzYgs3KE_TzMgAZuXh4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,261805,,64
UgwMyswuoVeOVMTWH6B4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,261869,,64
UgxO2LEsq4lpYCvvzz14AaABAg,Bệnh viện ĐKQT Vinmec,Directed,261933,,64
UgzQz78H-0wDlczMwgp4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,261997,,64
UgwHYNPH_yuQqbrpWTV4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,262061,,64
UgxJCjNXjwfRTXtUn5h4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,262125,,64
Ugye66CO_1kVYZmoOiN4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,262189,,64
UgyHrFToKljYgcANOU94AaABAg,Bệnh viện ĐKQT Vinmec,Directed,262253,,64
UgzS0GIKT_mcMiLwvr94AaABAg,Bệnh viện ĐKQT Vinmec,Directed,262317,,64
UgzkFj9cvniPpikIioB4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,262381,,64
UgyhRVurecenXUuthFh4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,262445,,64
UgwlthQz2GPKiaTRNkx4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,262509,,64
UgwvVU2nGZeYrkSsBTt4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,262573,,64
UgzjIb6BOkaua2e73bJ4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,262637,,64
UgwEdwS90ZoObmt9JCF4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,262701,,64
UgwEdwS90ZoObmt9JCF4AaABAg.A74_xUVz-n2A8a-EsV9ABY,Bệnh viện ĐKQT Vinmec,Directed,262765,,64
UgwEdwS90ZoObmt9JCF4AaABAg.A74_xUVz-n2AD3G13qmovn,Bệnh viện ĐKQT Vinmec,Directed,262829,,64
UgwEdwS90ZoObmt9JCF4AaABAg.A74_xUVz-n2AGaf7j-wGih,Bệnh viện ĐKQT Vinmec,Directed,262893,,64
UgwEdwS90ZoObmt9JCF4AaABAg.A74_xUVz-n2AJEaX5XSUfO,Bệnh viện ĐKQT Vinmec,Directed,262957,,64
UgwEdwS90ZoObmt9JCF4AaABAg.A74_xUVz-n2AJFn9FfqE02,Bệnh viện ĐKQT Vinmec,Directed,263021,,64
UgyZEHQ5SHoWMeOuQJR4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,263085,,64
UgyeYdtpsZ-pjLiE_IF4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,263149,,64
UgxPPD27sBK26kQdtNF4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,263213,,64
UgyI_rW6ephTJSmw39R4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,263277,,64
Ugzox8ZNniwiAoQclMN4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,263341,,64
Ugy6vvQ2HNzsKnWNsQB4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,263405,,64
Ugx_ojgQEfi_OUp1rOR4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,263469,,64
UgxDuhXoL7F2kQC13bx4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,263533,,64
UgzWWiE9TE_ttVDuB7J4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,263597,,64
UgzWWiE9TE_ttVDuB7J4AaABAg.9tAh0QHISkgABIojFm3bBx,Bệnh viện ĐKQT Vinmec,Directed,263661,,64
UgyYLD7J1r97fNRYZZB4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,263725,,64
UgyYLD7J1r97fNRYZZB4AaABAg.9pgLdZ0poIW9xboGYuAL-L,Bệnh viện ĐKQT Vinmec,Directed,263789,,64
UgyxmgWKZHIWIPgemZV4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,263853,,64
Ugzd4KwNJNAJMtzM8Ex4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,263917,,64
Ugzd4KwNJNAJMtzM8Ex4AaABAg.9lGXEDmSuGf9pV3I8bgJNz,Bệnh viện ĐKQT Vinmec,Directed,263981,,64
UgyEwXF9srazyLjwbA54AaABAg,Bệnh viện ĐKQT Vinmec,Directed,264045,,64
UgyEwXF9srazyLjwbA54AaABAg.9keILD4SW_p9y_PJ4On9Q4,Bệnh viện ĐKQT Vinmec,Directed,264109,,64
UgyEwXF9srazyLjwbA54AaABAg.9keILD4SW_pA2UonEMZlq7,Bệnh viện ĐKQT Vinmec,Directed,264173,,64
UgyEwXF9srazyLjwbA54AaABAg.9keILD4SW_pA5vJ6ypKk2p,Bệnh viện ĐKQT Vinmec,Directed,264237,,64
UgyEwXF9srazyLjwbA54AaABAg.9keILD4SW_pA8b4Xxx8dwN,Bệnh viện ĐKQT Vinmec,Directed,264301,,64
UgxZTi6dJGKTSSrRcYZ4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,264365,,64
UgxZTi6dJGKTSSrRcYZ4AaABAg.9k-mEufszTW9oEePmSatgx,Bệnh viện ĐKQT Vinmec,Directed,264429,,64
UgzSHGeNL_VngrFdoDV4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,264493,,64
UgzHb-vy8yJSWg4NV9N4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,264557,,64
UgzHb-vy8yJSWg4NV9N4AaABAg.9iggVOf6REz9pV3LiptTrc,Bệnh viện ĐKQT Vinmec,Directed,264621,,64
UgzHb-vy8yJSWg4NV9N4AaABAg.9iggVOf6REz9xBon0XLH9U,Bệnh viện ĐKQT Vinmec,Directed,264685,,64
UgzHb-vy8yJSWg4NV9N4AaABAg.9iggVOf6REz9yORB-fuwLM,Bệnh viện ĐKQT Vinmec,Directed,264749,,64
UgzHb-vy8yJSWg4NV9N4AaABAg.9iggVOf6REzA2Upniirqn2,Bệnh viện ĐKQT Vinmec,Directed,264813,,64
UgzHb-vy8yJSWg4NV9N4AaABAg.9iggVOf6REzA5KlPucUESf,Bệnh viện ĐKQT Vinmec,Directed,264877,,64
UgxQIPk7NNY2jRVi6zZ4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,264941,,64
UgxQIPk7NNY2jRVi6zZ4AaABAg.9iW6DPzYpx89lGWhvsjon-,Bệnh viện ĐKQT Vinmec,Directed,265005,,64
UgxQIPk7NNY2jRVi6zZ4AaABAg.9iW6DPzYpx89lGXgrCEbgT,Bệnh viện ĐKQT Vinmec,Directed,265069,,64
UgxQIPk7NNY2jRVi6zZ4AaABAg.9iW6DPzYpx89nP9EPTHZNE,Bệnh viện ĐKQT Vinmec,Directed,265133,,64
UgxQIPk7NNY2jRVi6zZ4AaABAg.9iW6DPzYpx89nZBNG4_E9h,Bệnh viện ĐKQT Vinmec,Directed,265197,,64
UgxQIPk7NNY2jRVi6zZ4AaABAg.9iW6DPzYpx89nfM-cvwpbf,Bệnh viện ĐKQT Vinmec,Directed,265261,,64
Ugyu8011Nw8sxxyr1dp4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,265325,,64
Ugyu8011Nw8sxxyr1dp4AaABAg.9h_5SGxrCRA9i98j-TJNOp,Bệnh viện ĐKQT Vinmec,Directed,265389,,64
UgxHK8sD-KGcKNDpdCN4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,265453,,64
UgyHgopekmrmXdQ6h6J4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,265517,,64
UgyHgopekmrmXdQ6h6J4AaABAg.9a9xJXLAFl29gRn9GwHybq,Bệnh viện ĐKQT Vinmec,Directed,265581,,64
Ugx1_3U-shBr66OxlMd4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,265645,,64
Ugx1_3U-shBr66OxlMd4AaABAg.9ZTg162Cj8u9Zaba3dtUMF,Bệnh viện ĐKQT Vinmec,Directed,265709,,64
Ugx1_3U-shBr66OxlMd4AaABAg.9ZTg162Cj8u9Zac4JtGtFR,Bệnh viện ĐKQT Vinmec,Directed,265773,,64
Ugx1_3U-shBr66OxlMd4AaABAg.9ZTg162Cj8u9_ptZlS5Xx3,Bệnh viện ĐKQT Vinmec,Directed,265837,,64
Ugx1_3U-shBr66OxlMd4AaABAg.9ZTg162Cj8u9_q75cpgh4D,Bệnh viện ĐKQT Vinmec,Directed,265901,,64
Ugx1_3U-shBr66OxlMd4AaABAg.9ZTg162Cj8u9adat0U_Apo,Bệnh viện ĐKQT Vinmec,Directed,265965,,64
UgwstreLeQ72F1UZRzJ4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,266029,,64
Ugz1_Aqxiwh4fQ3i8pZ4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,266093,,64
Ugz1_Aqxiwh4fQ3i8pZ4AaABAg.9Ss2AiEMrtA9gRnBO_eBIS,Bệnh viện ĐKQT Vinmec,Directed,266157,,64
UgwcLKM8Q1Hp68mOLfZ4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,266221,,64
UgwcLKM8Q1Hp68mOLfZ4AaABAg.9Sl-fGpsZA89SnmR_cxyjL,Bệnh viện ĐKQT Vinmec,Directed,266285,,64
UgwcLKM8Q1Hp68mOLfZ4AaABAg.9Sl-fGpsZA89a-Gh_6xzzF,Bệnh viện ĐKQT Vinmec,Directed,266349,,64
UgwcLKM8Q1Hp68mOLfZ4AaABAg.9Sl-fGpsZA89eXdNWb0FuW,Bệnh viện ĐKQT Vinmec,Directed,266413,,64
UgyN7bePuB8lfVdm_jB4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,266477,,64
UgyN7bePuB8lfVdm_jB4AaABAg.9RI75zvbpWp9RMnRP_j3VX,Bệnh viện ĐKQT Vinmec,Directed,266541,,64
UgwB5kTybrz2JC1EnZp4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,266605,,64
UgwlKmWjBAh75J7jXvB4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,266669,,64
UgzFiGSuPrX4rpMkMYZ4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,266733,,64
UgzFiGSuPrX4rpMkMYZ4AaABAg.9Lz4wD4UarM9PUdAtvOjD4,Bệnh viện ĐKQT Vinmec,Directed,266797,,64
UgzFiGSuPrX4rpMkMYZ4AaABAg.9Lz4wD4UarM9d55jnnsSWQ,Bệnh viện ĐKQT Vinmec,Directed,266861,,64
UgzFiGSuPrX4rpMkMYZ4AaABAg.9Lz4wD4UarM9xBowEyOi1F,Bệnh viện ĐKQT Vinmec,Directed,266925,,64
UgzFiGSuPrX4rpMkMYZ4AaABAg.9Lz4wD4UarMA6O16sY6jen,Bệnh viện ĐKQT Vinmec,Directed,266989,,64
Ugxvj1MzeA0bpv-RzDN4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,267053,,64
Ugxvj1MzeA0bpv-RzDN4AaABAg.9LIUt8Us7sL9LnAewc0USB,Bệnh viện ĐKQT Vinmec,Directed,267117,,64
Ugxvj1MzeA0bpv-RzDN4AaABAg.9LIUt8Us7sL9MPG8d7H7tP,Bệnh viện ĐKQT Vinmec,Directed,267181,,64
Ugxvj1MzeA0bpv-RzDN4AaABAg.9LIUt8Us7sL9drxM1d3zjq,Bệnh viện ĐKQT Vinmec,Directed,267245,,64
Ugxvj1MzeA0bpv-RzDN4AaABAg.9LIUt8Us7sLABs75Xl296R,Bệnh viện ĐKQT Vinmec,Directed,267309,,64
Ugxvj1MzeA0bpv-RzDN4AaABAg.9LIUt8Us7sLAC1l-Q4WbV9,Bệnh viện ĐKQT Vinmec,Directed,267373,,64
UgxF_4p9tKfOp6a7tc94AaABAg,Bệnh viện ĐKQT Vinmec,Directed,267437,,64
UgxF_4p9tKfOp6a7tc94AaABAg.9LHnI90czSL9MPG6ny4VHi,Bệnh viện ĐKQT Vinmec,Directed,267501,,64
UgxF_4p9tKfOp6a7tc94AaABAg.9LHnI90czSL9TGf2wknpX-,Bệnh viện ĐKQT Vinmec,Directed,267565,,64
UgxF_4p9tKfOp6a7tc94AaABAg.9LHnI90czSL9voRdmUpDtZ,Bệnh viện ĐKQT Vinmec,Directed,267629,,64
UgxF_4p9tKfOp6a7tc94AaABAg.9LHnI90czSLA87X5SIOksd,Bệnh viện ĐKQT Vinmec,Directed,267693,,64
UgwzfhywzTF7274U8hF4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,267757,,64
UgwzfhywzTF7274U8hF4AaABAg.9KzpUDLq1029PUdPu--bR0,Bệnh viện ĐKQT Vinmec,Directed,267821,,64
UgwzfhywzTF7274U8hF4AaABAg.9KzpUDLq1029Qw2MMxrQGD,Bệnh viện ĐKQT Vinmec,Directed,267885,,64
UgyMI-HaUqKc_IzjdwN4AaABAg,THVL Tổng Hợp,Directed,267949,,8
Ugw8D7ojumdWE4k0etl4AaABAg,ANTV - Truyền hình Công an Nhân dân,Directed,267957,,1
UgyLrkfV2c-QsRcJEHl4AaABAg,ANTV - Truyền hình Công an Nhân dân,Directed,267958,,1
Ugy0zXRsOCAk0FA4TfZ4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,267959,,128
Ugz9kt176C6J9iJpTVx4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,268023,,128
Ugy30IXJQ6_ZlihXhMN4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,268087,,128
Ugw6yBGFfnW6pi0qZPd4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,268151,,128
UgxSmRS6kZYMvk0fdnh4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,268215,,128
Ugy9pa1HM5phXxRAiy94AaABAg,Bệnh viện ĐKQT Vinmec,Directed,268279,,128
UgzswV_KxNi3ZERnmfR4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,268343,,128
UgyNmxXjVTxhVT1m0gZ4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,268407,,128
Ugwa597jq04HrYz0G1R4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,268471,,128
Ugw5Ut0PChyfH6-XbC14AaABAg,Bệnh viện ĐKQT Vinmec,Directed,268535,,128
UgwWTFgoMRaD3qHm0JJ4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,268599,,128
UgyJqITP6nvFhKV562x4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,268663,,128
UgwDyU4PjlxeUeGEyaV4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,268727,,128
UgyrHkIzrQrVcY6VIMB4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,268791,,128
UgylGuB9qg87roaYnjF4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,268855,,128
UgxeWJKfv9nCYIdYeql4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,268919,,128
UgxnKiwYlWNMdkYcYth4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,268983,,128
UgxxkielLmilsGaQj094AaABAg,Bệnh viện ĐKQT Vinmec,Directed,269047,,128
UgxxkielLmilsGaQj094AaABAg.AF7rYKDn5tJAIJ7gvd8WSq,Bệnh viện ĐKQT Vinmec,Directed,269111,,128
UgxguhYZc7fW8XMWMKl4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,269175,,128
UgxguhYZc7fW8XMWMKl4AaABAg.AERlf_Xg6QQAIJ7_dG_N17,Bệnh viện ĐKQT Vinmec,Directed,269239,,128
UgyljOjFIobLBgjET5t4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,269303,,128
Ugz2Q_ts9I9fqb-Tc454AaABAg,Bệnh viện ĐKQT Vinmec,Directed,269367,,128
Ugz2Q_ts9I9fqb-Tc454AaABAg.ACB5MkwEdeNAGNPgjkwWW6,Bệnh viện ĐKQT Vinmec,Directed,269431,,128
UgyAN611oFEznclipud4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,269495,,128
UgxrqPpyB-tqN9bj-IZ4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,269559,,128
UgyTlr_i91ZBBlgMk114AaABAg,Bệnh viện ĐKQT Vinmec,Directed,269623,,128
Ugwz7HsP0Btw74d7z4l4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,269687,,128
UgyYx1Q2nAX96Uk3IHZ4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,269751,,128
UgyYx1Q2nAX96Uk3IHZ4AaABAg.AAXpiPOOJKoAGbsk4YEP5h,Bệnh viện ĐKQT Vinmec,Directed,269815,,128
Ugxlub7scGf1UbwqW494AaABAg,Bệnh viện ĐKQT Vinmec,Directed,269879,,128
UgwbNGscnWLaMr6UfYx4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,269943,,128
UgwbNGscnWLaMr6UfYx4AaABAg.A9lMMaJPgr0AIJ7i5kX53q,Bệnh viện ĐKQT Vinmec,Directed,270007,,128
UgzJGxV4DcftwrDMc8F4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,270071,,128
UgyVRvdRzqXBaA-CYoB4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,270135,,128
UgzmbMpENQHiLfjLLE14AaABAg,Bệnh viện ĐKQT Vinmec,Directed,270199,,128
UgxVih8Cg54dVfvYYlp4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,270263,,128
UgwqM9UINcxhM_Cv4Xd4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,270327,,128
UgzjX4MAZrKPJkRLfLh4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,270391,,128
UgzjX4MAZrKPJkRLfLh4AaABAg.A4gl6wlZxAjA51CmGU6iJU,Bệnh viện ĐKQT Vinmec,Directed,270455,,128
UgytrJY7xsTODDMT6LJ4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,270519,,128
UgwIYRzg__Iugp7614N4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,270583,,128
UgyToEldpqwV9tO9frV4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,270647,,128
UgzOpqfWFbmfUPQJx_p4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,270711,,128
UgzOpqfWFbmfUPQJx_p4AaABAg.A3TV2qcdx5UAIJ7YS4SpIX,Bệnh viện ĐKQT Vinmec,Directed,270775,,128
UgxkwJTUmsNb2snnkoZ4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,270839,,128
UgxkwJTUmsNb2snnkoZ4AaABAg.A33libumI5dA4gqw8zTueN,Bệnh viện ĐKQT Vinmec,Directed,270903,,128
UgxkwJTUmsNb2snnkoZ4AaABAg.A33libumI5dA8lqfuFlYmG,Bệnh viện ĐKQT Vinmec,Directed,270967,,128
UgxkwJTUmsNb2snnkoZ4AaABAg.A33libumI5dAIJ7c8IlvVT,Bệnh viện ĐKQT Vinmec,Directed,271031,,128
Ugz5q6ufm4JwvzwdqqN4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,271095,,128
UgyDsFgdlzAbK666UF94AaABAg,Bệnh viện ĐKQT Vinmec,Directed,271159,,128
UgwmA11HbtGiai-R4AR4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,271223,,128
UgwmA11HbtGiai-R4AR4AaABAg.A0qXfPJvrFqA11ekGoI-x9,Bệnh viện ĐKQT Vinmec,Directed,271287,,128
UgwmA11HbtGiai-R4AR4AaABAg.A0qXfPJvrFqA78j30PPR07,Bệnh viện ĐKQT Vinmec,Directed,271351,,128
UgwmA11HbtGiai-R4AR4AaABAg.A0qXfPJvrFqA8l8cSpeh1s,Bệnh viện ĐKQT Vinmec,Directed,271415,,128
UgwmA11HbtGiai-R4AR4AaABAg.A0qXfPJvrFqA9j--uHgzcK,Bệnh viện ĐKQT Vinmec,Directed,271479,,128
UgwmA11HbtGiai-R4AR4AaABAg.A0qXfPJvrFqAE1Tvn5T4Uf,Bệnh viện ĐKQT Vinmec,Directed,271543,,128
Ugz3SI9E9O1UTtyPhXp4AaABAg,Bệnh viện ĐKQT Vinmec,Directed,271607,,128
Ugz3SI9E9O1UTtyPhXp4AaABAg.A-i3QHBIWdjAIJ7ZaP4Knx,Bệnh viện ĐKQT Vinmec,Directed,271671,,128
